profile,repetition,configured_application_delay_ms,configured_read_rate_limit_mbps,artifact_size_bytes,retrieval_time_seconds,status
P1,1,20.0,5.0,537088,0.886058,PASS
P1,2,20.0,5.0,537088,0.886188,PASS
P1,3,20.0,5.0,537088,0.885563,PASS
P1,4,20.0,5.0,537088,0.882454,PASS
P1,5,20.0,5.0,537088,0.884547,PASS
P1,6,20.0,5.0,537088,0.888803,PASS
P1,7,20.0,5.0,537088,0.886309,PASS
P1,8,20.0,5.0,537088,0.885667,PASS
P1,9,20.0,5.0,537088,0.884068,PASS
P1,10,20.0,5.0,537088,0.884802,PASS
P1,11,20.0,5.0,537088,0.887453,PASS
P1,12,20.0,5.0,537088,0.888255,PASS
P1,13,20.0,5.0,537088,0.883999,PASS
P1,14,20.0,5.0,537088,0.883038,PASS
P1,15,20.0,5.0,537088,0.884008,PASS
P1,16,20.0,5.0,537088,0.888281,PASS
P1,17,20.0,5.0,537088,0.883796,PASS
P1,18,20.0,5.0,537088,0.883912,PASS
P1,19,20.0,5.0,537088,0.886604,PASS
P1,20,20.0,5.0,537088,0.885879,PASS
P2,1,80.0,5.0,537088,0.946193,PASS
P2,2,80.0,5.0,537088,0.941056,PASS
P2,3,80.0,5.0,537088,0.945848,PASS
P2,4,80.0,5.0,537088,0.950001,PASS
P2,5,80.0,5.0,537088,0.951245,PASS
P2,6,80.0,5.0,537088,0.947187,PASS
P2,7,80.0,5.0,537088,0.945888,PASS
P2,8,80.0,5.0,537088,0.949046,PASS
P2,9,80.0,5.0,537088,0.952586,PASS
P2,10,80.0,5.0,537088,0.950799,PASS
P2,11,80.0,5.0,537088,0.948874,PASS
P2,12,80.0,5.0,537088,0.953516,PASS
P2,13,80.0,5.0,537088,0.945501,PASS
P2,14,80.0,5.0,537088,0.948401,PASS
P2,15,80.0,5.0,537088,0.941869,PASS
P2,16,80.0,5.0,537088,0.946911,PASS
P2,17,80.0,5.0,537088,0.953143,PASS
P2,18,80.0,5.0,537088,0.952561,PASS
P2,19,80.0,5.0,537088,0.952024,PASS
P2,20,80.0,5.0,537088,0.942444,PASS
P3,1,200.0,0.256,537088,16.986177,PASS
P3,2,200.0,0.256,537088,16.988262,PASS
P3,3,200.0,0.256,537088,16.998545,PASS
P3,4,200.0,0.256,537088,16.990166,PASS
P3,5,200.0,0.256,537088,16.996352,PASS
P3,6,200.0,0.256,537088,16.98716,PASS
P3,7,200.0,0.256,537088,16.995759,PASS
P3,8,200.0,0.256,537088,16.999026,PASS
P3,9,200.0,0.256,537088,16.997179,PASS
P3,10,200.0,0.256,537088,53.822447,PASS
P3,11,200.0,0.256,537088,17.005471,PASS
P3,12,200.0,0.256,537088,17.011915,PASS
P3,13,200.0,0.256,537088,915.736736,PASS
P3,14,200.0,0.256,537088,16.994611,PASS
P3,15,200.0,0.256,537088,17.002113,PASS
P3,16,200.0,0.256,537088,16.995333,PASS
P3,17,200.0,0.256,537088,17.013684,PASS
P3,18,200.0,0.256,537088,17.009426,PASS
P3,19,200.0,0.256,537088,17.01403,PASS
P3,20,200.0,0.256,537088,17.00343,PASS
