configured_block_period_seconds,repetition,operation,submission_to_receipt_latency_seconds,receipt_poll_interval_seconds,status
1,1,set_signer,1.065333,1.0,success
1,2,set_signer,1.044084,1.0,success
1,3,set_signer,1.05191,1.0,success
1,4,set_signer,1.053077,1.0,success
1,5,set_signer,1.050891,1.0,success
1,6,set_signer,1.055078,1.0,success
1,7,set_signer,1.047382,1.0,success
1,8,set_signer,1.053939,1.0,success
1,9,set_signer,1.053772,1.0,success
1,10,set_signer,2.053336,1.0,success
1,11,set_signer,1.051324,1.0,success
1,12,set_signer,1.054775,1.0,success
1,13,set_signer,1.056408,1.0,success
1,14,set_signer,2.045222,1.0,success
1,15,set_signer,1.042072,1.0,success
1,16,set_signer,1.027184,1.0,success
1,17,set_signer,1.028515,1.0,success
1,18,set_signer,1.028298,1.0,success
1,19,set_signer,1.030001,1.0,success
1,20,set_signer,1.030401,1.0,success
1,21,set_signer,31.031609,1.0,success
1,22,set_signer,1.046351,1.0,success
1,23,set_signer,1.038461,1.0,success
1,24,set_signer,1.029335,1.0,success
1,25,set_signer,1.037559,1.0,success
1,26,set_signer,1.028782,1.0,success
1,27,set_signer,1.031371,1.0,success
1,28,set_signer,1.046752,1.0,success
1,29,set_signer,1.046021,1.0,success
1,30,set_signer,1.04231,1.0,success
2,1,set_signer,2.059347,1.0,success
2,2,set_signer,2.032239,1.0,success
2,3,set_signer,2.030448,1.0,success
2,4,set_signer,2.032636,1.0,success
2,5,set_signer,2.035079,1.0,success
2,6,set_signer,2.031804,1.0,success
2,7,set_signer,2.038242,1.0,success
2,8,set_signer,2.036651,1.0,success
2,9,set_signer,2.029971,1.0,success
2,10,set_signer,2.038026,1.0,success
2,11,set_signer,2.029239,1.0,success
2,12,set_signer,2.032397,1.0,success
2,13,set_signer,2.031629,1.0,success
2,14,set_signer,2.029813,1.0,success
2,15,set_signer,2.035698,1.0,success
2,16,set_signer,2.030266,1.0,success
2,17,set_signer,2.031407,1.0,success
2,18,set_signer,2.043411,1.0,success
2,19,set_signer,1.037223,1.0,success
2,20,set_signer,2.028718,1.0,success
2,21,set_signer,2.041394,1.0,success
2,22,set_signer,2.043373,1.0,success
2,23,set_signer,2.02866,1.0,success
2,24,set_signer,2.04357,1.0,success
2,25,set_signer,2.030984,1.0,success
2,26,set_signer,2.034511,1.0,success
2,27,set_signer,2.045038,1.0,success
2,28,set_signer,2.046466,1.0,success
2,29,set_signer,2.049261,1.0,success
2,30,set_signer,2.057185,1.0,success
4,1,set_signer,4.040165,1.0,success
4,2,set_signer,4.036452,1.0,success
4,3,set_signer,4.043924,1.0,success
4,4,set_signer,4.047006,1.0,success
4,5,set_signer,4.051439,1.0,success
4,6,set_signer,4.053802,1.0,success
4,7,set_signer,4.052193,1.0,success
4,8,set_signer,4.061154,1.0,success
4,9,set_signer,4.053547,1.0,success
4,10,set_signer,4.05536,1.0,success
4,11,set_signer,4.050103,1.0,success
4,12,set_signer,4.05307,1.0,success
4,13,set_signer,4.052346,1.0,success
4,14,set_signer,4.058442,1.0,success
4,15,set_signer,4.06056,1.0,success
4,16,set_signer,3.050187,1.0,success
4,17,set_signer,4.027616,1.0,success
4,18,set_signer,4.03163,1.0,success
4,19,set_signer,4.039563,1.0,success
4,20,set_signer,4.045764,1.0,success
4,21,set_signer,4.042611,1.0,success
4,22,set_signer,4.029853,1.0,success
4,23,set_signer,4.026652,1.0,success
4,24,set_signer,4.046702,1.0,success
4,25,set_signer,4.046446,1.0,success
4,26,set_signer,4.053283,1.0,success
4,27,set_signer,4.05064,1.0,success
4,28,set_signer,4.044751,1.0,success
4,29,set_signer,4.040476,1.0,success
4,30,set_signer,4.057904,1.0,success
