record_type,cache_mode,trial,artifact_requests,origin_requests,cache_hits,origin_bytes_transferred,origin_side_transfer_mib,total_retrieval_time_seconds,integrity_failures
trial,OFF,1,1000,1000,0,537088000,512.20703125,7.420441458001733,0
trial,OFF,2,1000,1000,0,537088000,512.20703125,8.966688459040597,0
trial,OFF,3,1000,1000,0,537088000,512.20703125,11.808519374928437,0
trial,OFF,4,1000,1000,0,537088000,512.20703125,19.32780216599349,0
trial,OFF,5,1000,1000,0,537088000,512.20703125,13.203367208945565,0
trial,OFF,6,1000,1000,0,537088000,512.20703125,6.793871500063688,0
trial,OFF,7,1000,1000,0,537088000,512.20703125,8.512075792066753,0
trial,OFF,8,1000,1000,0,537088000,512.20703125,9.80268087494187,0
trial,OFF,9,1000,1000,0,537088000,512.20703125,11.565341916983016,0
trial,OFF,10,1000,1000,0,537088000,512.20703125,13.798447125009261,0
trial,ON,1,1000,1,999,537088,0.51220703125,0.23097916692495346,0
trial,ON,2,1000,1,999,537088,0.51220703125,0.23192691605072469,0
trial,ON,3,1000,1,999,537088,0.51220703125,0.2239600419998169,0
trial,ON,4,1000,1,999,537088,0.51220703125,0.22813920897897333,0
trial,ON,5,1000,1,999,537088,0.51220703125,0.22484800009988248,0
trial,ON,6,1000,1,999,537088,0.51220703125,0.23157891700975597,0
trial,ON,7,1000,1,999,537088,0.51220703125,0.23150254099164158,0
trial,ON,8,1000,1,999,537088,0.51220703125,0.229953832924366,0
trial,ON,9,1000,1,999,537088,0.51220703125,0.23477154201827943,0
trial,ON,10,1000,1,999,537088,0.51220703125,0.22955824993550777,0
