cohort_size_software_identities,batch_size,reporting_approach,projected_transaction_count,projected_storage_slot_bytes,projected_gas,executed_median_logical_path_gas_basis,storage_relative_to_per_device_percent,gas_relative_to_per_device_percent
100,25,Integrity-only aggregation,4,288,391344,97836,1.497504159733777,2.31229282992112
100,25,Complete-cohort witnessed aggregation,12,1568,1736572,434143,8.153078202995008,10.26069898667612
100,50,Integrity-only aggregation,2,160,195672,97836,0.831946755407654,1.15614641496056
100,50,Complete-cohort witnessed aggregation,6,800,868286,434143,4.159733777038269,5.13034949333806
100,100,Integrity-only aggregation,1,96,97836,97836,0.49916805324459235,0.57807320748028
100,100,Complete-cohort witnessed aggregation,3,416,434143,434143,2.1630615640599,2.56517474666903
100,200,Integrity-only aggregation,1,96,97836,97836,0.49916805324459235,0.57807320748028
100,200,Complete-cohort witnessed aggregation,3,416,434143,434143,2.1630615640599,2.56517474666903
500,25,Integrity-only aggregation,20,1312,1956720,97836,1.3662112629123626,2.31229282992112
500,25,Complete-cohort witnessed aggregation,60,7712,8682860,434143,8.030656447850717,10.26069898667612
500,50,Integrity-only aggregation,10,672,978360,97836,0.6997667444185272,1.15614641496056
500,50,Complete-cohort witnessed aggregation,30,3872,4341430,434143,4.031989336887704,5.13034949333806
500,100,Integrity-only aggregation,5,352,489180,97836,0.3665444851716095,0.57807320748028
500,100,Complete-cohort witnessed aggregation,15,1952,2170715,434143,2.032655781406198,2.56517474666903
500,200,Integrity-only aggregation,3,224,293508,97836,0.2332555814728424,0.34684392448816803
500,200,Complete-cohort witnessed aggregation,9,1184,1302429,434143,1.2329223592135954,1.539104848001418
1000,25,Integrity-only aggregation,40,2592,3913440,97836,1.349775037493751,2.31229282992112
1000,25,Complete-cohort witnessed aggregation,120,15392,17365720,434143,8.015330778203634,10.26069898667612
1000,50,Integrity-only aggregation,20,1312,1956720,97836,0.6832194634227629,1.15614641496056
1000,50,Complete-cohort witnessed aggregation,60,7712,8682860,434143,4.015997333777704,5.13034949333806
1000,100,Integrity-only aggregation,10,672,978360,97836,0.3499416763872688,0.57807320748028
1000,100,Complete-cohort witnessed aggregation,30,3872,4341430,434143,2.0163306115647393,2.56517474666903
1000,200,Integrity-only aggregation,5,352,489180,97836,0.18330278286952176,0.28903660374014
1000,200,Complete-cohort witnessed aggregation,15,1952,2170715,434143,1.016497250458257,1.282587373334515
