trial,phase,active_validator_processes,observed_block_progress,restart_to_first_block_seconds,restart_to_first_receipt_seconds
1,zero_validators_stopped,4,True,,
1,one_validator_stopped,3,True,,
1,two_validators_stopped,2,False,,
1,quorum_restored_after_validator_restart,3,True,39.46649912500288,39.61835750006139
2,zero_validators_stopped,4,True,,
2,one_validator_stopped,3,True,,
2,two_validators_stopped,2,False,,
2,quorum_restored_after_validator_restart,3,True,81.49844795803074,82.23677870805841
3,zero_validators_stopped,4,True,,
3,one_validator_stopped,3,True,,
3,two_validators_stopped,2,False,,
3,quorum_restored_after_validator_restart,3,True,47.55327925004531,47.96136637509335
4,zero_validators_stopped,4,True,,
4,one_validator_stopped,3,True,,
4,two_validators_stopped,2,False,,
4,quorum_restored_after_validator_restart,3,True,44.51380520907696,44.70357929205056
5,zero_validators_stopped,4,True,,
5,one_validator_stopped,3,True,,
5,two_validators_stopped,2,False,,
5,quorum_restored_after_validator_restart,3,True,43.497402749955654,43.49756808404345
